source_unit,depends_on_unit
ANSIDRV,Crt
ANSIDRV,common
ANSIEDIT,Crt
ANSIEDIT,Dos
ANSIEDIT,common
ANSIEDIT,common1
ANSIEDIT,common2
ANSIEDIT,records
ANSIEDIT,common3
ANSIEDIT,common4
ANSIEDIT,common5
ANSIEDIT,ansidrv
ANSIEDIT,sys
BPTRAP,myio
BPTRAP,crt
BPTRAP,dos
BPTRAP,common5
BPTRAP,common
BPTRAP,ansidrv
BPTRAP,records
BPTRAP,common2
BPTRAP,common4
BPTRAP,sys
BPTRAP,misc1
CMD,common
CMD,common1
CMD,common2
CMD,common3
CMD,records
CMD,asmSauce
COMMON,Crt
COMMON,Dos
COMMON,timejunk
COMMON,records
COMMON,output
COMMON1,Crt
COMMON1,Dos
COMMON1,records
COMMON1,myio
COMMON1,tmpcom
COMMON2,Crt
COMMON2,Dos
COMMON2,common5
COMMON2,records
COMMON2,myio
COMMON2,common
COMMON2,common4
COMMON2,scrlbk
COMMON2,tmpcom
COMMON2,cmd
COMMON2,strProc
COMMON3,Crt
COMMON3,Dos
COMMON3,records
COMMON3,myio
COMMON3,common5
COMMON3,tmpcom
COMMON3,strProc
COMMON4,Records
COMMON4,Common
COMMON4,Common5
COMMON4,Dos
COMMON4,Crt
COMMON5,records
CONF,common1
CONF,common4
CONF,common2
CONF,common3
CONF,Common
CONF,Mail5
CONF,Mail0
CONF,File11
CONF,records
CONF,common5
CONF,strproc
CUSER,Crt
CUSER,Dos
CUSER,misc5
CUSER,common5
CUSER,records
CUSER,common
CUSER,common1
CUSER,common2
CUSER,common3
CUSER,strproc
DOORS,Crt
DOORS,Dos
DOORS,common5
DOORS,records
DOORS,execbat
DOORS,tmpcom
DOORS,common1
DOORS,common2
DOORS,common3
DOORS,common
DOORS,strProc
EXAMPLE,Crt
EXEC,Dos
EXEC,checkpat
EXECBAT,Crt
EXECBAT,Dos
EXECBAT,common5
EXECBAT,records
EXECBAT,common
EXECBAT,common1
EXECBAT,common2
EXECBAT,common3
EXECBAT,myio
EXECOLD,Dos
EXECOLD,checkpat
FILE0,Crt
FILE0,Dos
FILE0,common5
FILE0,records
FILE0,myio
FILE0,common1
FILE0,common2
FILE0,common3
FILE0,common
FILE0,strproc
FILE1,Crt
FILE1,Dos
FILE1,ulcheck
FILE1,file3
FILE1,execbat
FILE1,common4
FILE1,common5
FILE1,records
FILE1,common1
FILE1,common2
FILE1,common3
FILE1,multinod
FILE1,myio
FILE1,common
FILE1,strproc
FILE1,cmd
FILE1,sys
FILE10,Crt
FILE10,Dos
FILE10,common5
FILE10,records
FILE10,myio
FILE10,common1
FILE10,common2
FILE10,common3
FILE10,file0
FILE10,file1
FILE10,file2
FILE10,file4
FILE10,file9
FILE10,common
FILE10,strproc
FILE11,Crt
FILE11,Dos
FILE11,strproc
FILE11,common4
FILE11,common5
FILE11,records
FILE11,myio
FILE11,common1
FILE11,common2
FILE11,common3
FILE11,file0
FILE11,file1
FILE11,common
FILE12,Crt
FILE12,Dos
FILE12,records
FILE12,file0
FILE12,file8
FILE12,file1
FILE12,file2
FILE12,file4
FILE12,file6
FILE12,file9
FILE12,execbat
FILE12,file3
FILE12,common1
FILE12,common2
FILE12,common3
FILE12,common5
FILE12,mmodem
FILE12,common
FILE13,Crt
FILE13,Dos
FILE13,records
FILE13,myio
FILE13,common5
FILE13,file0
FILE13,file1
FILE13,file2
FILE13,common
FILE14,Crt
FILE14,Dos
FILE14,common5
FILE14,records
FILE14,myio
FILE14,file0
FILE14,file11
FILE14,common
FILE2,Crt
FILE2,Dos
FILE2,records
FILE2,execbat
FILE2,file0
FILE2,common
FILE2,common5
FILE2,file4
FILE3,Common
FILE3,records
FILE4,Crt
FILE4,Dos
FILE4,common5
FILE4,file0
FILE4,file14
FILE4,records
FILE4,common
FILE5,Crt
FILE5,Dos
FILE5,common5
FILE5,records
FILE5,common
FILE5,file3
FILE5,common1
FILE5,common2
FILE5,common3
FILE5,file0
FILE5,file1
FILE5,file2
FILE5,file4
FILE5,file8
FILE5,file9
FILE5,file11
FILE5,execbat
FILE6,Crt
FILE6,Dos
FILE6,records
FILE6,file0
FILE6,file1
FILE6,file2
FILE6,file4
FILE6,file9
FILE6,common5
FILE6,execbat
FILE6,common1
FILE6,common2
FILE6,common3
FILE6,common
FILE6,strProc
FILE8,Crt
FILE8,Dos
FILE8,records
FILE8,myio
FILE8,common4
FILE8,file0
FILE8,file6
FILE8,common5
FILE8,execbat
FILE8,common
FILE9,Crt
FILE9,Dos
FILE9,common5
FILE9,records
FILE9,myio
FILE9,common1
FILE9,common2
FILE9,common3
FILE9,file0
FILE9,file1
FILE9,file2
FILE9,common
FILE9,strproc
IMP,Checkpat
IMP,Crt
IMP,Overlay
IMP,OvrLay
IMP,BpTrap
IMP,InitP
IMP,Menus2
IMP,Dos
IMP,AnsiDrv
IMP,Sysop7
IMP,Sysop8
IMP,Sysop9
IMP,Sysop11
IMP,Rumors
IMP,ScrlBk
IMP,Mail0
IMP,Mail1
IMP,Mail2
IMP,Mail3
IMP,Mail4
IMP,Mail5
IMP,Mail6
IMP,Mail9
IMP,File0
IMP,File1
IMP,File2
IMP,File4
IMP,File5
IMP,File6
IMP,File8
IMP,File9
IMP,File10
IMP,File11
IMP,File12
IMP,File13
IMP,File14
IMP,Misc1
IMP,WfcMenu
IMP,Misc2
IMP,Misc3
IMP,Misc4
IMP,Misc5
IMP,CUser
IMP,Doors
IMP,Menus3
IMP,MyIO
IMP,Logon1
IMP,Logon2
IMP,NewUsers
IMP,Common1
IMP,Menus
IMP,TimeJunk
IMP,Tmpcom
IMP,MsgPack
IMP,Common
IMP,Common5
IMP,multinod
IMP,Common2
IMP,Common3
IMP,Ulcheck
IMP,Common4
IMP,Records
IMP,cmd
IMP,sys
IMP,outPut
IMP,strProc
IMP,strProc2
IMP,MModem
IMP,Sysop3
IMPDOS,Crt
IMPDOS,Dos
IMPDOS,common5
IMPDOS,records
IMPDOS,common
IMPDOS,file3
IMPDOS,common1
IMPDOS,common2
IMPDOS,common3
IMPDOS,file0
IMPDOS,file1
IMPDOS,file2
IMPDOS,file4
IMPDOS,file8
IMPDOS,file9
IMPDOS,file11
IMPDOS,execbat
IMPDOS,islu
IMPDOS,menus3
IMPDOS,cmd
IMPDOS,strproc
INITP,Overlay
INITP,Crt
INITP,Dos
INITP,common4
INITP,sysop2
INITP,myio
INITP,common1
INITP,common2
INITP,common3
INITP,records
INITP,common5
INITP,common
INITP,sys
INITP,wfcmenu
INITP,strProc
INITP,sysop8
INSTALL,records
INSTALL,crt
INSTALL,dos
ISLU,common
ISLU,common5
ISLU,strproc
LADLE,AsmSauce
LOGON1,Crt
LOGON1,Dos
LOGON1,common5
LOGON1,logon2
LOGON1,newusers
LOGON1,records
LOGON1,mail0
LOGON1,mail1
LOGON1,mail2
LOGON1,mail3
LOGON1,mail4
LOGON1,misc1
LOGON1,misc2
LOGON1,misc5
LOGON1,common4
LOGON1,cuser
LOGON1,common1
LOGON1,common2
LOGON1,common3
LOGON1,doors
LOGON1,scrlbk
LOGON1,strProc
LOGON1,menus
LOGON1,menus2
LOGON1,common
LOGON1,multinod
LOGON2,Crt
LOGON2,Dos
LOGON2,tmpcom
LOGON2,common5
LOGON2,records
LOGON2,mail0
LOGON2,mail1
LOGON2,mail2
LOGON2,mail3
LOGON2,mail4
LOGON2,mail9
LOGON2,misc1
LOGON2,misc2
LOGON2,misc5
LOGON2,common2
LOGON2,common4
LOGON2,cuser
LOGON2,common1
LOGON2,common3
LOGON2,doors
LOGON2,menus
LOGON2,common
LOGON2,nuv
LZHVIEW,Dos
LZHVIEW,Common
LZHVIEW,Crt
LZHVIEW,records
LZHVIEW,strProc
LZHVIEW,common2
LZHVIEW,sys
MAIL0,Crt
MAIL0,Dos
MAIL0,common5
MAIL0,records
MAIL0,common
MAIL0,timejunk
MAIL0,strproc
MAIL1,Crt
MAIL1,Dos
MAIL1,common1
MAIL1,common2
MAIL1,common3
MAIL1,common5
MAIL1,records
MAIL1,common
MAIL1,timejunk
MAIL1,strproc
MAIL2,Crt
MAIL2,Dos
MAIL2,common1
MAIL2,common2
MAIL2,common3
MAIL2,common5
MAIL2,records
MAIL2,common
MAIL2,timejunk
MAIL2,mail0
MAIL2,mail1
MAIL2,strproc
MAIL3,Crt
MAIL3,Dos
MAIL3,common1
MAIL3,common2
MAIL3,common3
MAIL3,records
MAIL3,scrlbk
MAIL3,common5
MAIL3,common
MAIL3,timejunk
MAIL3,mail0
MAIL3,strproc
MAIL3,sys
MAIL4,Crt
MAIL4,Dos
MAIL4,common5
MAIL4,common
MAIL4,timejunk
MAIL4,records
MAIL4,sysop3
